TICID,sectors,transits,BLS,model
55525572,,,yes,
398340721,,1660,yes,0
261136000,,"1412.1, 1412.6",yes,0
337262829,,1470.51,yes,0
362520882,,1546.5,yes,0
178472673,,1496.76,yes,0
35655828,,"1545.5, 1546.2",yes,0
177312861,,1560,yes,0
308307606,,1426.15,yes,0
452734608,,1576.6,yes,0
250425126,,1620.8,yes,0
342694097,,1635,yes,0
334059016,,1493.9,yes,0
270652829,,"1365, 1377.5",yes,0
242991317,,1445,yes,0
62481640,,1351.8,yes,0
271554988,1,1330,yes,0
458808688,,1572.3,yes,0
281650462,,1574.1,yes,0
62857080,,1563.5,yes,0
279322914,9,1554,yes,0
415045920,,1506,yes,0
178826090,,1536.5,yes,0
106149491,,1552.2,yes,0
167673218,,1447,yes,0
281731203,,"1546, 1558.2",yes,0
92442746,,1342.5,yes,0
144121387,,1560.8,yes,0
77044471,,"1356.1, 1358.8",yes,0
302926645,,1474.2,yes,0
9966358,,"1411.9, 1436.5",yes,0
334695451,,1553,yes,0
241539145,,1403.6,yes,0
117763668,,1444,yes,0
164767175,,"1393, 1398.1",yes,0
316916655,,1446,yes,0
167325027,,147.65,yes,0
308050066,,1552,yes,0
237949640,2,1361.6,yes,0
8964552,,1366.5,yes,0
170891257,,1522,yes,0
64626502,,1656.2,yes,0
453831755,,"1439.75, 143.2",yes,0
247673817,,1485.8,yes,0
253934781,,1335,yes,0
299135660,,"13,901,398",yes,0
279834305,,1376.1,yes,0
20178111,,"1472.2, 1373.9",yes,0
14444062,,,yes,0
423987361,,15001.4,yes,0
271892595,2,1364,yes,0
80080066,,1331,yes,0
146846569,9,1550,yes,0
218988566,,1499.3,yes,0
357413295,,1592.5,yes,0
196954401,,1656.2,yes,0
29831208,1,"1330, 1331",yes,0
272086159,2,1363,yes,0
52674416,8,1540.9,yes,0
419994344,,1425,yes,0
200171985,,1674.8,yes,0
200724774,3,1391,yes,0
381855507,,1328,yes,0
32499655,5,1440.3,yes,0
150390189,,"1520, 1521.5",yes,0
229076808,,1459.5,yes,0
29781292,1,1332.3,yes,0
422965201,,1431,yes,0
52449797,6,1474.2,yes,0
302532519,,1476.45,yes,0
311426097,,1661,yes,0
320851362,10,1573,yes,0
158379525,,1566,yes,0
204390369,,1365,yes,0
89258104,,1342.85,yes,0
152283270,,1336.15,yes,0
201292718,,1366,yes,0
1190662,,1520.5,yes,0
328162247,,1427.05,yes,0
178431738,,15001,yes,0
35292537,,1498,yes,0
301057712,,1440,yes,0
237948122,,1371,yes,0
293470795,,1459.1,yes,0
,,,,